id задачи|Дата создания|Платформа|Способ связи|Кол-во откликов|Кол-во матчей
193493|2022-07-30T21:06:54.176005|admins|через телефон|0|0
193492|2022-07-30T21:05:12.551591|admins|через телефон|1|0
193491|2022-07-30T20:59:17.860737|admins|через телефон|3|0
193490|2022-07-30T20:58:59.360107|admins|через телефон|0|0
193489|2022-07-30T20:58:19.512942|admins|через телефон|1|0
193488|2022-07-30T20:57:29.878953|admins|через телефон|1|0
193487|2022-07-30T20:55:49.688189|admins|через телефон|1|0
193486|2022-07-30T20:54:44.507504|admins|через телефон|1|0
193485|2022-07-30T20:48:00.483314|admins|через телефон|0|0
193484|2022-07-30T20:47:41.003822|admins|через телефон|3|0
193483|2022-07-30T20:47:30.505000|admins|через телефон|5|0
193482|2022-07-30T20:46:07.141430|admins|через телефон|1|0
193481|2022-07-30T20:42:36.425009|admins|через телефон|5|0
193480|2022-07-30T20:40:57.110425|admins|через телефон|0|0
193479|2022-07-30T20:40:40.776446|admins|через телефон|5|0
193478|2022-07-30T20:40:21.198777|android|через телефон|1|0
193477|2022-07-30T20:39:46.081986|admins|через телефон|5|0
193476|2022-07-30T20:39:19.029837|android|через телефон|1|0
193475|2022-07-30T20:35:38.273337|admins|через телефон|5|0
193474|2022-07-30T20:34:43.468910|admins|через телефон|3|0
193473|2022-07-30T20:31:05.613470|admins|через телефон|1|0
193472|2022-07-30T20:22:06.688646|admins|через телефон|3|0
193471|2022-07-30T20:21:07.082581|admins|через телефон|1|0
193470|2022-07-30T20:20:05.617608|admins|через телефон|0|0
193469|2022-07-30T20:19:16.151882|admins|через телефон|2|0
193468|2022-07-30T20:18:50.505500|admins|через телефон|3|0
193467|2022-07-30T20:15:05.785047|admins|через телефон|2|0
193466|2022-07-30T20:14:11.910918|admins|через телефон|3|0
193465|2022-07-30T20:12:41.934234|admins|через телефон|4|0
193464|2022-07-30T20:10:41.173354|admins|через телефон|1|0
193463|2022-07-30T20:09:33.685667|admins|через телефон|0|0
193462|2022-07-30T20:07:39.957076|admins|через телефон|0|0
193461|2022-07-30T20:07:08.110476|admins|через телефон|2|0
193460|2022-07-30T20:04:24.065690|admins|через телефон|1|0
193459|2022-07-30T20:04:22.464092|admins|через телефон|5|0
193458|2022-07-30T20:04:15.557032|admins|через телефон|5|0
193457|2022-07-30T20:02:46.302471|admins|через телефон|1|0
193456|2022-07-30T20:00:45.493633|admins|через телефон|0|0
193455|2022-07-30T20:00:36.737576|admins|через телефон|3|0
193454|2022-07-30T20:00:24.651708|admins|через телефон|0|0
193453|2022-07-30T19:58:49.866985|admins|через телефон|0|0
193452|2022-07-30T19:58:40.671882|admins|через телефон|1|0
193451|2022-07-30T19:57:23.043546|admins|через телефон|1|0
193450|2022-07-30T19:57:09.361737|admins|через телефон|2|0
